code,prefecture,region,population_2020,area_km2,density_per_km2
1,北海道,北海道,5224614,83424.0,62.6
2,青森県,東北,1237984,9646.0,128.3
3,岩手県,東北,1210534,15275.0,79.2
4,宮城県,東北,2301996,7282.0,316.1
5,秋田県,東北,959502,11638.0,82.4
6,山形県,東北,1068027,9323.0,114.6
7,福島県,東北,1833152,13784.0,133.0
8,茨城県,関東,2867009,6097.0,470.2
9,栃木県,関東,1933146,6408.0,301.7
10,群馬県,関東,1939110,6362.0,304.8
11,埼玉県,関東,7344765,3798.0,1933.9
12,千葉県,関東,6284480,5158.0,1218.4
13,東京都,関東,14047594,2191.0,6411.5
14,神奈川県,関東,9237337,2416.0,3823.4
15,新潟県,中部,2201272,12584.0,174.9
16,富山県,中部,1034814,4248.0,243.6
17,石川県,中部,1132526,4186.0,270.6
18,福井県,中部,766863,4190.0,183.0
19,山梨県,中部,809974,4465.0,181.4
20,長野県,中部,2048011,13562.0,151.0
21,岐阜県,中部,1978742,10621.0,186.3
22,静岡県,中部,3633202,7777.0,467.2
23,愛知県,中部,7542415,5172.0,1458.3
24,三重県,近畿,1770254,5774.0,306.6
25,滋賀県,近畿,1413610,4017.0,351.9
26,京都府,近畿,2578087,4612.0,559.0
27,大阪府,近畿,8837685,1905.0,4639.2
28,兵庫県,近畿,5465002,8401.0,650.5
29,奈良県,近畿,1324473,3691.0,358.8
30,和歌山県,近畿,922584,4725.0,195.3
31,鳥取県,中国,553407,3507.0,157.8
32,島根県,中国,671126,6708.0,100.0
33,岡山県,中国,1888432,7115.0,265.4
34,広島県,中国,2799702,8479.0,330.2
35,山口県,中国,1342059,6112.0,219.6
36,徳島県,四国,719559,4147.0,173.5
37,香川県,四国,950244,1877.0,506.3
38,愛媛県,四国,1334841,5676.0,235.2
39,高知県,四国,691527,7104.0,97.3
40,福岡県,九州・沖縄,5135214,4986.0,1029.9
41,佐賀県,九州・沖縄,811442,2441.0,332.4
42,長崎県,九州・沖縄,1312317,4132.0,317.6
43,熊本県,九州・沖縄,1738301,7409.0,234.6
44,大分県,九州・沖縄,1123852,6341.0,177.2
45,宮崎県,九州・沖縄,1069576,7735.0,138.3
46,鹿児島県,九州・沖縄,1588256,9187.0,172.9
47,沖縄県,九州・沖縄,1467480,2281.0,643.3
