age,sex,height_cm,weight_kg
5,male,111.6,19.4
5,female,110.8,19.0
6,male,117.5,22.0
6,female,116.7,21.5
7,male,123.5,24.9
7,female,122.6,24.3
8,male,129.1,28.2
8,female,128.5,27.4
9,male,134.5,31.7
9,female,134.8,31.1
10,male,140.1,35.8
10,female,141.4,35.0
11,male,146.6,40.4
11,female,148.0,39.9
12,male,154.0,45.7
12,female,152.1,44.2
13,male,161.4,50.6
13,female,155.1,47.6
14,male,166.1,55.0
14,female,156.5,50.0
15,male,168.8,59.0
15,female,157.2,51.2
16,male,170.2,60.7
16,female,157.7,52.1
17,male,170.9,62.5
17,female,158.0,52.6
