code,prefecture,region,population_2020,area_km2,density_per_km2
1,北海道,北海道,5224614,83424.44,66.6
2,青森県,東北,1237984,9645.64,128.3
3,岩手県,東北,1210534,15275.01,79.2
4,宮城県,東北,2301996,7282.29,316.1
5,秋田県,東北,959502,11637.52,82.4
6,山形県,東北,1068027,9323.15,114.6
7,福島県,東北,1833152,13784.14,133.0
8,茨城県,関東,2867009,6097.39,470.2
9,栃木県,関東,1933146,6408.09,301.7
10,群馬県,関東,1939110,6362.28,304.8
11,埼玉県,関東,7344765,3797.75,1934.0
12,千葉県,関東,6284480,5157.57,1218.5
13,東京都,関東,14047594,2194.03,6402.6
14,神奈川県,関東,9237337,2416.11,3823.2
15,新潟県,中部,2201272,12583.96,174.9
16,富山県,中部,1034814,4247.58,243.6
17,石川県,中部,1132526,4186.21,270.5
18,福井県,中部,766863,4190.52,183.0
19,山梨県,中部,809974,4465.27,181.4
20,長野県,中部,2048011,13561.56,151.0
21,岐阜県,中部,1978742,10621.29,186.3
22,静岡県,中部,3633202,7777.35,467.2
23,愛知県,中部,7542415,5173.07,1458.0
24,三重県,近畿,1770254,5774.49,306.6
25,滋賀県,近畿,1413610,4017.38,351.9
26,京都府,近畿,2578087,4612.2,559.0
27,大阪府,近畿,8837685,1905.32,4638.4
28,兵庫県,近畿,5465002,8401.02,650.5
29,奈良県,近畿,1324473,3690.94,358.8
30,和歌山県,近畿,922584,4724.65,195.3
31,鳥取県,中国,553407,3507.14,157.8
32,島根県,中国,671126,6707.89,100.1
33,岡山県,中国,1888432,7114.33,265.4
34,広島県,中国,2799702,8479.65,330.2
35,山口県,中国,1342059,6112.54,219.6
36,徳島県,四国,719559,4146.75,173.5
37,香川県,四国,950244,1876.78,506.3
38,愛媛県,四国,1334841,5676.19,235.2
39,高知県,四国,691527,7103.63,97.3
40,福岡県,九州・沖縄,5135214,4986.51,1029.8
41,佐賀県,九州・沖縄,811442,2440.69,332.5
42,長崎県,九州・沖縄,1312317,4130.98,317.7
43,熊本県,九州・沖縄,1738301,7409.46,234.6
44,大分県,九州・沖縄,1123852,6340.76,177.2
45,宮崎県,九州・沖縄,1069576,7735.22,138.3
46,鹿児島県,九州・沖縄,1588256,9187.06,172.9
47,沖縄県,九州・沖縄,1467480,2282.59,642.9
