SSDSE-A-2025,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
,,年度,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2022,2022,2023,2023,2020,2020,2020,2020,2020,2020,2020,2020,2022,2022,2023,2023,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2019,2019,2023,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2022,2022,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
地域コード,都道府県,市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口,出生数,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,世帯数,一般世帯数,一般世帯人員数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,事業所数（民営）,事業所数（民営）（農業、林業）,事業所数（民営）（漁業）,事業所数（民営）（鉱業、採石業、砂利採取業）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（電気・ガス・熱供給・水道業）,事業所数（民営）（情報通信業）,事業所数（民営）（運輸業、郵便業）,事業所数（民営）（卸売業、小売業）,事業所数（民営）（金融業、保険業）,事業所数（民営）（不動産業、物品賃貸業）,事業所数（民営）（学術研究、専門・技術サービス業）,事業所数（民営）（宿泊業、飲食サービス業）,事業所数（民営）（生活関連サービス業、娯楽業）,事業所数（民営）（教育、学習支援業）,事業所数（民営）（医療、福祉）,事業所数（民営）（複合サービス事業）,事業所数（民営）（サービス業（他に分類されないもの））,従業者数（民営）,従業者数（民営）（農業、林業）,従業者数（民営）（漁業）,従業者数（民営）（鉱業、採石業、砂利採取業）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（電気・ガス・熱供給・水道業）,従業者数（民営）（情報通信業）,従業者数（民営）（運輸業、郵便業）,従業者数（民営）（卸売業、小売業）,従業者数（民営）（金融業、保険業）,従業者数（民営）（不動産業、物品賃貸業）,従業者数（民営）（学術研究、専門・技術サービス業）,従業者数（民営）（宿泊業、飲食サービス業）,従業者数（民営）（生活関連サービス業、娯楽業）,従業者数（民営）（教育、学習支援業）,従業者数（民営）（医療、福祉）,従業者数（民営）（複合サービス事業）,従業者数（民営）（サービス業（他に分類されないもの））,農家数（販売農家）,農家数（自給的農家）,一般行政部門職員数（市区町村）,経常収支比率（市町村財政）,実質公債費比率（市町村財政）,歳入決算総額（市町村財政）,地方税（市町村財政）,歳出決算総額（市町村財政）,民生費（市町村財政）,土木費（市町村財政）,教育費（市町村財政）,災害復旧費（市町村財政）,幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,義務教育学校数,義務教育学校教員数,義務教育学校前期課程児童数,義務教育学校後期課程生徒数,高等学校数,高等学校生徒数,就業者数,就業者数（男）,就業者数（女）,完全失業者数,完全失業者数（男）,完全失業者数（女）,非労働力人口,非労働力人口（男）,非労働力人口（女）,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,公民館数,図書館数,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（基本票）
R01100,北海道,札幌市,1973395,918682,1054713,1933094,897727,1035367,215366,110196,105170,1185724,566874,618850,541242,224966,316276,264920,98452,166468,12634,11172,23561,111776,102951,969161,967372,1916478,496691,422160,195527,110890,121789,8292,3455,112126,43879,72730,99,2,11,6908,2342,73,1690,1665,17071,1402,7262,4596,8789,5780,2169,7606,299,4966,872779,904,16,92,64664,36948,3822,36201,43590,189631,23892,34628,36358,76435,31747,32966,146115,6746,108024,347,280,7593,93,2.7,1295698111,334595895,1281258738,506761351,145031979,147080234,2413966,86,11879,201,5243,88100,106,3134,45821,1,22,63,37,51,40918,845953,445866,400087,41269,23450,17819,576925,192964,383961,3983,115924,697967,1,13,1973011,5971,10370,7354,348,173,1447,1191,6977,2115,5561,387
R01202,北海道,函館市,251084,113965,137119,248208,112718,135490,23560,11984,11576,134953,64971,69982,89257,35342,53915,45963,16118,29845,989,1080,4335,7302,8217,121793,121455,240342,62606,50901,30158,16719,22337,823,378,67787,12281,11362,21,29,2,1091,500,9,113,258,2909,242,798,433,1576,1143,334,1014,93,797,105260,151,369,12,8333,8295,329,1875,6280,22940,2958,2716,1873,11801,4592,3532,19196,1170,8838,146,132,1261,91.2,5.1,146534785,31267532,142484781,69833415,11744444,11623138,0,11,854,40,717,9225,22,433,5370,1,20,46,25,14,6054,109183,57529,51654,5592,3269,2323,86816,28978,57838,3202,17553,84172,1,1,245213,22594,2163,1256,41,26,203,122,825,183,696,53
R01203,北海道,小樽市,111299,50136,61163,109971,49441,60530,9169,4678,4491,55643,26790,28853,45426,18009,27417,24086,8559,15527,552,384,2044,2756,3165,52817,52615,106082,28930,20657,15757,8822,11095,263,135,24383,8528,5063,6,7,0,379,375,6,28,193,1457,77,188,135,721,434,116,523,36,382,47404,47,97,0,2410,7911,217,98,3165,9837,737,766,625,4112,2173,1273,9744,484,3708,54,58,705,91.6,5.7,68157351,13937289,66291831,27943355,7084348,3670883,0,11,527,17,328,3684,13,220,2142,0,0,0,0,7,2767,44785,23313,21472,2850,1689,1161,46101,16224,29877,619,7572,35719,0,1,107908,2050,1097,616,17,11,77,78,290,102,331,23
R01204,北海道,旭川市,329306,152108,177198,325287,150318,174969,34691,17797,16894,178060,85575,92485,112411,46768,65643,58032,22143,35889,1082,1612,5071,9250,9620,156195,155625,315003,86206,61540,39798,24072,24821,1203,532,74766,35018,14016,98,0,3,1370,668,13,118,356,3442,306,1058,525,1792,1287,328,1653,81,918,140107,1066,0,12,11599,10992,635,1070,7957,31626,3484,3380,3312,10989,5257,5191,28939,1590,13008,843,273,1570,89.3,8.3,193121176,39773268,185661269,85701040,16288374,12495216,69,26,1900,52,1220,13985,27,637,7531,0,0,0,0,13,8292,146321,77721,68600,6921,4052,2869,118878,41158,77720,3761,24253,114977,25,5,325039,7838,2409,1503,67,33,218,169,1339,254,853,72
R01205,北海道,室蘭市,82383,40390,41993,81658,39960,41698,7769,3916,3853,43398,23259,20139,30330,12565,17765,16418,6265,10153,380,388,1453,2586,3229,41766,41660,79836,20845,18890,10730,6481,7410,278,122,8101,4331,3633,1,0,0,405,204,5,31,120,874,90,243,118,531,295,74,289,24,329,38897,36,0,0,3987,6620,158,355,2550,6998,827,892,1827,2743,1027,1190,5792,335,3560,12,8,342,90.3,9.6,50411719,13114293,49517149,19624844,5867300,6765588,18426,8,671,9,224,2993,8,139,1595,0,0,0,0,6,2475,34733,20173,14560,1661,1128,533,33134,12133,21001,324,9155,24690,0,1,78227,1944,621,447,13,6,52,40,260,53,201,12
R01206,北海道,釧路市,165077,77506,87571,163026,76789,86237,16634,8495,8139,90595,44886,45709,56355,23465,32890,28354,10823,17531,815,705,2520,4803,5999,80349,80095,159067,42053,33385,19578,11513,13290,588,302,136326,31165,7775,35,19,11,659,328,22,51,281,1773,188,688,270,1221,734,211,647,45,592,66727,337,218,215,5450,5342,405,368,5996,13821,2132,1911,1429,6439,2881,1762,10961,452,6608,129,18,893,91,10.7,107647417,21028182,102901683,45009023,9654290,8699581,36459,24,1523,25,582,6088,15,322,3334,2,57,344,276,8,3832,69198,37549,31649,2878,1686,1192,56593,20000,36593,1511,12561,53046,1,5,161147,8447,1224,1030,24,15,80,84,379,109,379,26
R01207,北海道,帯広市,166536,79623,86913,165759,79211,86548,19073,9762,9311,96804,48097,48707,49000,20616,28384,24870,9548,15322,717,984,2251,6731,7236,80175,79933,160130,42007,33848,17351,10492,11065,759,289,61934,38130,8475,96,1,6,852,305,25,79,193,2116,200,517,373,1289,777,228,756,44,618,78389,1248,3,32,6963,5346,335,697,4249,18262,2228,2035,2463,7805,2871,1591,14690,290,7281,580,27,795,89.8,8.4,95602576,22543746,93255674,38162454,8444543,9981443,0,13,1493,25,598,7221,13,328,3765,1,51,339,152,8,4925,74554,40187,34367,2668,1541,1127,44613,15031,29582,3616,12675,54217,0,1,164378,3140,1431,1123,35,17,110,94,532,142,431,29
R01208,北海道,北見市,115480,54729,60751,114601,54346,60255,12014,6170,5844,63217,31713,31504,38841,16230,22611,20031,7673,12358,402,546,1733,3569,3720,55188,55024,111882,29872,21801,13824,8404,7846,348,209,142741,42794,5164,142,19,5,472,234,18,45,142,1333,111,343,168,658,437,104,474,41,418,49241,1185,261,43,4770,3235,244,699,2642,11528,1476,1203,948,4137,1976,1473,8285,553,4583,713,126,839,92.5,10.3,76823809,14207650,75436352,28216600,10065075,5986053,5,7,487,22,476,4830,13,276,2646,1,22,30,19,8,2667,49777,26904,22873,1832,1081,751,35130,12303,22827,3219,8212,36556,8,8,113453,3120,928,532,26,12,70,52,248,73,219,28
