都道府県,合計特殊出生率,1人当たり県民所得（千円）,高齢化率（%）,,1人当たり県民所得（千円）,合計特殊出生率
沖縄県,1.70,"2,167",23.8,,"2,167",1.70
宮崎県,1.63,"2,289",33.7,,"2,289",1.63
鳥取県,1.60,"2,313",33.3,,"2,313",1.60
島根県,1.57,"2,768",34.9,,"2,768",1.57
長崎県,1.57,"2,483",34.3,,"2,483",1.57
鹿児島県,1.54,"2,408",33.8,,"2,408",1.54
佐賀県,1.53,"2,575",31.7,,"2,575",1.53
熊本県,1.52,"2,498",32.3,,"2,498",1.52
福井県,1.50,"3,182",31.6,,"3,182",1.50
大分県,1.49,"2,604",34.2,,"2,604",1.49
山口県,1.47,"2,960",35.4,,"2,960",1.47
富山県,1.46,"3,120",33.1,,"3,120",1.46
香川県,1.45,"2,766",32.5,,"2,766",1.45
長野県,1.43,"2,788",32.7,,"2,788",1.43
滋賀県,1.43,"3,097",27.0,,"3,097",1.43
徳島県,1.42,"3,013",35.4,,"3,013",1.42
山梨県,1.40,"2,982",31.8,,"2,982",1.40
三重県,1.40,"2,948",30.6,,"2,948",1.40
広島県,1.40,"2,969",30.1,,"2,969",1.40
和歌山県,1.39,"2,751",34.2,,"2,751",1.39
岡山県,1.39,"2,665",31.0,,"2,665",1.39
愛媛県,1.39,"2,471",34.2,,"2,471",1.39
石川県,1.38,"2,770",30.5,,"2,770",1.38
岐阜県,1.36,"2,875",31.2,,"2,875",1.36
高知県,1.36,"2,491",36.3,,"2,491",1.36
愛知県,1.35,"3,428",25.7,,"3,428",1.35
静岡県,1.33,"3,110",31.0,,"3,110",1.33
福岡県,1.33,"2,630",28.5,,"2,630",1.33
山形県,1.32,"2,843",35.2,,"2,843",1.32
群馬県,1.32,"2,937",31.0,,"2,937",1.32
兵庫県,1.31,"2,887",30.0,,"2,887",1.31
福島県,1.27,"2,833",33.2,,"2,833",1.27
茨城県,1.27,"3,098",30.6,,"3,098",1.27
新潟県,1.27,"2,784",33.9,,"2,784",1.27
奈良県,1.25,"2,501",32.6,,"2,501",1.25
青森県,1.24,"2,633",35.2,,"2,633",1.24
栃木県,1.24,"3,132",30.2,,"3,132",1.24
大阪府,1.22,"2,830",27.7,,"2,830",1.22
岩手県,1.21,"2,666",35.0,,"2,666",1.21
秋田県,1.18,"2,583",39.1,,"2,583",1.18
千葉県,1.18,"2,988",28.1,,"2,988",1.18
京都府,1.18,"2,745",29.7,,"2,745",1.18
埼玉県,1.17,"2,890",27.4,,"2,890",1.17
神奈川県,1.17,"2,961",25.9,,"2,961",1.17
北海道,1.12,"2,682",33.0,,"2,682",1.12
宮城県,1.09,"2,803",29.2,,"2,803",1.09
東京都,1.04,"5,214",22.8,,"5,214",1.04
