実施年,地域規模,学校番号,性別,正答数_国,正答数_算,正誤_国_01,正誤_国_02,正誤_国_03,正誤_国_04,正誤_国_05,正誤_国_06,正誤_国_07,正誤_国_08,正誤_国_09,正誤_国_10,正誤_国_11,正誤_国_12,正誤_国_13,正誤_国_14,正誤_算_01,正誤_算_02,正誤_算_03,正誤_算_04,正誤_算_05,正誤_算_06,正誤_算_07,正誤_算_08,正誤_算_09,正誤_算_10,正誤_算_11,正誤_算_12,正誤_算_13,正誤_算_14,正誤_算_15,正誤_算_16,児童質問回答_001,児童質問回答_002,児童質問回答_003,児童質問回答_004,児童質問回答_005,児童質問回答_016,児童質問回答_017,児童質問回答_018,児童質問回答_019,児童質問回答_023,児童質問回答_024,児童質問回答_025,児童質問回答_036,児童質問回答_037,児童質問回答_048,児童質問回答_049,児童質問回答_050,児童質問回答_056,児童質問回答_057,児童質問回答_058
2024,3,100389,1,13,15,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1
2024,3,115830,2,13,16,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,1,2,1,4,2,2,2,2,1,2,1,1,1
2024,2,114661,2,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,5,1,1,2,2,3,4,1,1,2,1,1,1,1,1,1
2024,2,116654,1,13,14,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,4,1,2,3,3,3,2,4,2,3,2,2,1,2,2,1,2
2024,1,115359,1,13,14,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,5,2,2,3,1,1,1,4,3,2,2,2,1,2,3,2,3
2024,1,110299,2,13,15,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,6,1,3,2,1,1,3,4,2,3,2,1,3,2,4,1,3
2024,2,109925,2,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,6,1,1,3,1,3,2,1,1,2,1,1,1,3,1,2
2024,3,109216,1,12,14,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,6,5,2,2,1,1,3,3,2,2,2,3,1,1,1,1,1
2024,3,111590,2,11,16,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2
2024,1,114497,2,13,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,4,2,4,3,2,2,3,3,2,2,1,2,1,2,1,1,1
2024,1,115624,2,14,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,5,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1
2024,1,109484,2,13,12,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,4,5,1,2,2,2,2,4,2,2,1,2,1,1,1,1,1
2024,1,117593,2,13,13,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,4,4,2,2,2,2,2,4,1,2,2,2,1,1,2,1,1
2024,1,116659,1,11,14,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,3,4,2,4,1,2,3,3,1,1,2,1,1,1,1,1,1
2024,3,103058,2,13,15,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,5,2,2,2,2,2,4,1,2,3,2,1,2,1,1,1
2024,4,100811,2,11,12,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,4,3,1,2,1,1,3,4,1,1,2,1,1,2,2,1,1
2024,3,112547,2,11,12,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,5,5,3,3,1,2,1,4,3,3,2,1,2,1,2,1,2
2024,1,101207,1,11,12,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,5,3,2,2,1,1,1,4,3,1,1,2,1,1,3,1,1
2024,1,102080,2,13,15,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,4,1,1,1,2,3,4,1,2,2,2,1,1,2,1,1
2024,1,116202,2,13,16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,2,1,1,2,4,2,1,3,2,1,1,1,4,1
2024,3,105787,1,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,4,1,2,1,3,2,3,4,2,2,2,2,1,1,3,1,2
2024,1,117703,1,11,13,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,5,3,1,1,1,1,3,4,2,1,1,1,1,1,2,1,1
2024,4,113498,1,13,16,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,2,2,1,2,2,3,2,2,2,2,1,2,1,1,1
2024,2,106401,1,12,12,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,4,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1
2024,1,112782,1,12,16,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,4,1,1,1,2,1,1,1,1,1
2024,1,113686,1,11,14,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,6,4,1,2,2,3,3,4,2,2,2,2,1,1,2,1,1
2024,3,115767,2,13,14,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,5,5,2,2,1,2,2,4,3,2,2,2,1,1,2,1,1
2024,1,103075,2,12,14,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,2,6,6,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1
2024,3,106524,2,13,16,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,1,2,2,1,1,2,4,2,2,2,2,1,2,3,2,2
2024,3,107220,2,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,5,4,4,4,2,2,1,4,3,3,2,2,1,1,3,1,1
2024,3,112158,1,11,14,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,5,5,1,2,1,1,1,4,2,1,1,2,1,2,1,1,1
2024,1,115163,2,14,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,6,2,2,1,2,3,2,1,2,3,2,1,1,1,1,1
2024,4,114203,2,12,14,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,4,2,2,1,2,3,3,1,1,1,2,1,1,2,1,1
2024,2,104582,2,11,15,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,1,2,1,2,2,3,3,2,2,2,1,1,1,1,1
2024,2,108168,2,12,14,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,6,4,1,1,1,2,3,3,2,1,2,3,1,2,1,1,1
2024,1,101644,2,13,15,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,5,4,2,2,2,1,3,4,1,2,3,2,1,2,4,1,3
2024,3,105725,2,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,6,5,1,1,2,1,2,4,1,2,2,2,1,2,1,1,2
2024,3,104747,1,12,14,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,6,2,1,1,1,1,3,4,3,3,2,2,2,2,2,1,2
2024,1,105128,1,13,13,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,5,1,1,2,1,1,3,4,2,2,3,2,1,2,3,1,2
2024,1,113392,2,13,16,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,3,2,3,1,2,2,4,2,3,2,4,2,3,1,3,1
2024,1,105755,2,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,4,2,3,1,3,3,4,2,2,2,1,1,1,3,1,1
2024,3,107971,2,11,14,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,5,5,1,1,1,1,3,3,1,1,1,2,1,1,1,1,1
2024,3,107748,2,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,5,5,2,1,2,1,3,1,2,1,3,1,1,1,2,1,1
2024,3,106792,1,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,4,3,2,2,1,1,3,4,2,4,1,3,2,2,1,1,2
2024,3,104124,1,13,16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,2,2,2,2,1,4,2,2,2,3,1,2,3,1,2
2024,2,100978,2,12,13,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,6,4,3,3,3,3,1,4,2,2,2,3,1,2,2,1,1
2024,1,106196,1,13,15,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,5,1,1,1,1,3,2,1,2,1,2,1,1,1,1,1
2024,3,107786,1,11,15,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,2,5,6,2,2,2,2,3,1,2,1,1,1,1,1,2,2,2
2024,1,104528,1,13,14,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,6,5,1,1,1,1,1,4,1,1,3,2,1,1,1,1,1
2024,3,101297,2,13,14,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,6,4,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1
2024,2,107186,1,12,15,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,6,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1
2024,2,106144,1,11,16,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,4,2,1,1,2,1,1,1,1,1
2024,2,111641,1,12,13,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,5,3,2,3,2,2,2,4,4,3,3,3,1,2,1,1,2
2024,1,117068,1,13,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,5,4,2,2,3,1,2,4,2,2,2,2,1,2,2,2,2
2024,4,107713,2,13,12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,4,6,1,1,2,1,2,4,1,1,2,1,2,2,3,1,1
2024,1,107737,2,14,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,2,4,3,2,1,2,2,3,4,2,2,1,2,1,1,1,1,1
2024,1,106083,2,11,15,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,5,4,1,1,1,2,2,4,2,1,1,1,1,1,1,1,1
2024,1,112485,1,11,15,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,4,3,2,2,2,3,3,4,2,2,2,2,1,2,2,2,1
2024,2,102773,2,14,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,4,2,3,2,4,3,2,3,4,2,2,3,1,1
2024,2,104500,2,13,16,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,6,1,2,2,1,1,4,2,2,2,1,1,1,3,1,2
2024,3,101787,2,13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,5,5,3,2,2,2,2,2,2,1,2,3,1,2,1,1,1
2024,1,103778,2,13,15,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,5,2,2,1,2,2,3,3,2,3,2,2,1,3,1,1,1
2024,1,100180,2,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,3,5,1,2,1,2,3,2,2,2,3,1,1,1,2,1,2
2024,3,102573,2,14,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,6,5,2,1,1,2,3,4,2,3,3,2,2,2,2,2,3
2024,1,106196,1,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
2024,3,111361,2,13,15,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,5,1,2,1,2,3,3,2,2,2,4,2,2,1,1,1
2024,2,118416,1,13,14,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,5,6,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1
2024,3,117876,1,11,16,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,2,1,1,2,1,3,4,3,2,1,1,1,2,1,3,1
2024,1,114009,2,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,6,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1
2024,3,100305,2,11,14,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,5,6,1,2,2,2,3,4,2,1,1,3,1,1,1,1,1
2024,3,100318,2,13,15,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,6,3,2,2,3,2,1,2,2,2,1,4,1,4,2,1,2
2024,2,118425,2,11,16,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,5,2,2,3,3,2,4,3,2,2,1,1,2,3,1,2
2024,4,110942,2,12,15,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,6,6,1,2,1,1,2,4,1,1,2,1,1,1,1,1,1
2024,3,115804,1,11,15,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2
2024,2,106086,1,13,16,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1
2024,3,114662,2,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,6,2,2,3,2,2,2,4,3,2,2,3,2,2,2,2,2
2024,3,105596,2,13,15,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,5,4,1,1,2,1,3,3,1,1,2,1,1,1,1,1,1
2024,2,107989,1,13,13,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,5,6,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1
2024,2,112165,1,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,4,5,1,1,2,1,3,4,1,1,1,2,1,1,1,1,1
2024,3,110645,2,12,13,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,4,5,1,2,2,1,3,1,2,1,2,2,1,1,3,2,1
2024,3,104245,2,11,14,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,5,2,2,2,1,2,1,3,2,2,1,2,1,2,3,1,1
2024,2,117190,1,12,14,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,5,1,1,2,1,3,4,3,2,1,2,1,2,2,1,2
2024,1,101565,1,13,15,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,4,6,2,3,1,2,1,4,2,3,2,3,2,2,4,2,2
2024,3,115929,1,13,16,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,2,2,3,4,1,2,1,1,1,2,2,1,2
2024,3,100935,1,13,15,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,4,1,2,1,1,3,3,2,1,1,2,1,1,1,1,1
2024,1,110360,2,12,16,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,5,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1
2024,1,106002,1,13,15,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,5,4,1,2,1,1,2,4,2,2,3,2,1,1,2,1,2
2024,1,103485,1,13,16,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1,3,4,2,2,1,4,4,3,3,4,2,3,4,2,4
2024,2,109532,2,12,13,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,3,4,1,3,1,2,2,4,1,2,1,1,1,1,2,1,1
2024,1,104346,2,14,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,6,4,1,2,1,2,3,4,2,1,2,2,1,1,1,1,1
2024,1,115058,2,13,15,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,4,3,1,2,2,2,2,4,3,1,2,4,2,1,1,1,1
2024,2,104190,2,13,15,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,3,3,1,1,1,2,1,2,2,1,1
2024,3,101974,2,13,13,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,4,3,2,1,1,3,4,2,2,2,4,1,2,3,2,2
2024,1,102881,2,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,4,5,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1
2024,2,111831,1,12,16,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,1,2,2,3,2,2,2,2,2,1,2,1,1,1
2024,3,100836,2,12,14,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,4,2,6,1,1,3,2,1,1,4,2,2,1,4,2,2,2,1,1
2024,1,111384,1,13,13,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,5,4,2,2,1,1,2,3,1,1,1,2,1,1,1,1,1
2024,2,117580,2,12,15,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,6,5,3,3,2,3,2,3,2,3,3,3,1,2,2,1,1
2024,3,106418,2,13,14,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,5,5,2,1,2,1,3,1,1,1,1,1,1,1,2,1,1
