実施年,地域規模,学校番号,性別,正答数_国,正答数_数,正誤_国_01,正誤_国_02,正誤_国_03,正誤_国_04,正誤_国_05,正誤_国_06,正誤_国_07,正誤_国_08,正誤_国_09,正誤_国_10,正誤_国_11,正誤_国_12,正誤_国_13,正誤_国_14,正誤_国_15,正誤_数_01,正誤_数_02,正誤_数_03,正誤_数_04,正誤_数_05,正誤_数_06,正誤_数_07,正誤_数_08,正誤_数_09,正誤_数_10,正誤_数_11,正誤_数_12,正誤_数_13,正誤_数_14,正誤_数_15,正誤_数_16,生徒質問回答_001,生徒質問回答_002,生徒質問回答_003,生徒質問回答_004,生徒質問回答_005,生徒質問回答_016,生徒質問回答_017,生徒質問回答_018,生徒質問回答_019,生徒質問回答_023,生徒質問回答_024,生徒質問回答_025,生徒質問回答_036,生徒質問回答_037,生徒質問回答_048,生徒質問回答_049,生徒質問回答_050,生徒質問回答_056,生徒質問回答_057,生徒質問回答_058
2024,1,208861,2,11,13,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,6,3,1,4,1,1,2,4,3,2,2,1,1,1,3,1,2
2024,4,206760,2,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,5,4,3,1,2,2,2,3,2,2,2,3,1,2,2,2,2
2024,3,207747,2,11,14,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,4,1,1,1,1,2,4,1,1,1,2,1,1,1,1,1
2024,3,206609,2,14,12,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,5,2,3,2,2,2,1,4,3,2,3,3,2,2,3,2,2
2024,2,207585,2,13,11,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,5,1,2,2,1,1,1,4,3,1,1,2,1,2,2,1,1
2024,3,204506,2,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,5,4,1,2,1,1,3,4,2,2,2,4,2,2,1,1,1
2024,2,203447,2,14,11,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,3,4,1,1,1,1,2,4,2,1,1,4,1,3,2,1,1
2024,2,202269,1,14,15,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,4,5,1,2,4,3,2,1,2,2,1,3,1,4,1,1,2
2024,3,206971,2,13,10,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,4,6,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1
2024,3,201258,1,12,8,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,5,4,2,2,2,2,3,4,3,2,2,2,1,2,2,1,2
2024,3,208747,1,14,11,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,5,3,1,2,1,1,2,4,2,2,2,1,1,1,1,1,1
2024,2,209076,1,13,10,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,4,5,4,2,2,2,1,4,2,2,1,2,1,2,3,2,2
2024,1,203428,2,11,12,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,5,3,1,2,1,2,3,4,2,2,2,2,1,1,2,1,1
2024,1,202404,1,13,15,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,4,1,1,1,1,2,4,2,1,1,2,3,1,1,3,1
2024,3,208709,1,11,13,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,3,2,4,4,2,2,2,2,3,4,1,2,2,2,1,2,2,2,2
2024,2,205929,2,11,16,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2
2024,3,200968,2,12,11,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,3,2,1,5,5,2,2,2,2,3,4,3,2,2,1,1,1,1,1,1
2024,3,206193,2,13,13,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,5,2,2,1,2,2,3,4,3,2,2,2,1,2,2,1,2
2024,1,200621,1,14,11,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,6,4,2,1,1,1,3,4,2,1,2,1,2,1,2,2,1
2024,1,202946,2,14,15,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,3,3,2,2,2,4,2,1,2,3,2,2,3,3,2
2024,3,200542,1,14,15,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,5,1,1,1,1,3,4,1,1,1,1,1,1,4,2,2
2024,3,207286,2,12,15,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,3,6,1,2,2,2,1,2,4,2,2,2,1,1,1,2,2,1
2024,1,205981,1,13,12,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,5,4,2,1,1,1,2,4,2,2,3,2,2,1,3,1,3
2024,2,204814,2,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,1,2,1,1,3,4,2,1,1,3,1,2,1,2,1
2024,3,208304,1,13,12,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,5,1,2,2,2,2,3,4,1,2,2,2,2,2,1,1,1
2024,2,204766,1,12,16,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,3,1,2,2,3,4,1,1,2,1,1,1,3,2,3
